organism_name,assembly_id,genome_ftp_path,checksums_ftp_path
Angiostrongylus cantonensis,GCA_009735665.1_ACgenome_NGS_v2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/735/665/GCA_009735665.1_ACgenome_NGS_v2/GCA_009735665.1_ACgenome_NGS_v2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/735/665/GCA_009735665.1_ACgenome_NGS_v2/md5checksums.txt
Angiostrongylus costaricensis,GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/624/975/GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd/GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/624/975/GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd/md5checksums.txt
Anguina tritici,GCA_029339935.1_ASM2933993v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/339/935/GCA_029339935.1_ASM2933993v1/GCA_029339935.1_ASM2933993v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/339/935/GCA_029339935.1_ASM2933993v1/md5checksums.txt
Anisus vortex,GCA_949126835.1_xgAniVort1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/126/835/GCA_949126835.1_xgAniVort1.1/GCA_949126835.1_xgAniVort1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/126/835/GCA_949126835.1_xgAniVort1.1/md5checksums.txt
Anodontia alba,GCA_964016985.1_xbAnoAlba1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/016/985/GCA_964016985.1_xbAnoAlba1.1/GCA_964016985.1_xbAnoAlba1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/016/985/GCA_964016985.1_xbAnoAlba1.1/md5checksums.txt
Anopheles sinensis,GCA_000441895.2_AS2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/895/GCA_000441895.2_AS2/GCA_000441895.2_AS2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/895/GCA_000441895.2_AS2/md5checksums.txt
Anthophora plumipes,GCA_951804975.1_iyAntPlum1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/804/975/GCA_951804975.1_iyAntPlum1.1/GCA_951804975.1_iyAntPlum1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/804/975/GCA_951804975.1_iyAntPlum1.1/md5checksums.txt
Aphaenogaster rudis,GCA_003063815.1_AJDMW,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/815/GCA_003063815.1_AJDMW/GCA_003063815.1_AJDMW_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/815/GCA_003063815.1_AJDMW/md5checksums.txt
Aphelenchoides avenae,GCA_020875895.1_ASM2087589v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/875/895/GCA_020875895.1_ASM2087589v1/GCA_020875895.1_ASM2087589v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/875/895/GCA_020875895.1_ASM2087589v1/md5checksums.txt
Aphelenchoides besseyi,GCA_024699855.1_AORT.fasta,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/699/855/GCA_024699855.1_AORT.fasta/GCA_024699855.1_AORT.fasta_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/699/855/GCA_024699855.1_AORT.fasta/md5checksums.txt
Aphelenchoides bicaudatus,GCA_024699845.1_Abicaudatus.fasta,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/699/845/GCA_024699845.1_Abicaudatus.fasta/GCA_024699845.1_Abicaudatus.fasta_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/699/845/GCA_024699845.1_Abicaudatus.fasta/md5checksums.txt
Aphidius ervi,GCA_015776835.1_Ae_genome_v2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/776/835/GCA_015776835.1_Ae_genome_v2/GCA_015776835.1_Ae_genome_v2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/776/835/GCA_015776835.1_Ae_genome_v2/md5checksums.txt
Aphidoletes aphidimyza,GCA_030463065.1_ASM3046306v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/463/065/GCA_030463065.1_ASM3046306v1/GCA_030463065.1_ASM3046306v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/463/065/GCA_030463065.1_ASM3046306v1/md5checksums.txt
Apis mellifera,GCA_003254395.2_Amel_HAv3.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1/GCA_003254395.2_Amel_HAv3.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1/md5checksums.txt
Aplysia californica,GCA_000002075.2_AplCal3.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/075/GCA_000002075.2_AplCal3.0/GCA_000002075.2_AplCal3.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/075/GCA_000002075.2_AplCal3.0/md5checksums.txt
Aporrectodea caliginosa,GCA_020284085.1_ApCa_Genome_070519_masked.fasta,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/284/085/GCA_020284085.1_ApCa_Genome_070519_masked.fasta/GCA_020284085.1_ApCa_Genome_070519_masked.fasta_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/284/085/GCA_020284085.1_ApCa_Genome_070519_masked.fasta/md5checksums.txt
Archegozetes longisetosus,GCA_018873245.2_Caltech_Along_2.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/873/245/GCA_018873245.2_Caltech_Along_2.0/GCA_018873245.2_Caltech_Along_2.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/873/245/GCA_018873245.2_Caltech_Along_2.0/md5checksums.txt
Architeuthis dux,GCA_006491835.1_UP_Adux,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/491/835/GCA_006491835.1_UP_Adux/GCA_006491835.1_UP_Adux_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/491/835/GCA_006491835.1_UP_Adux/md5checksums.txt
Arctonoe vittata,GCA_040966955.1_ASM4096695v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/966/955/GCA_040966955.1_ASM4096695v1/GCA_040966955.1_ASM4096695v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/966/955/GCA_040966955.1_ASM4096695v1/md5checksums.txt
Arcuatula senhousia,GCA_963971305.1_xbArcSenh1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/971/305/GCA_963971305.1_xbArcSenh1.1/GCA_963971305.1_xbArcSenh1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/971/305/GCA_963971305.1_xbArcSenh1.1/md5checksums.txt
Arenicola marina,GCA_964019135.1_wuAreMari1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/019/135/GCA_964019135.1_wuAreMari1.1/GCA_964019135.1_wuAreMari1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/019/135/GCA_964019135.1_wuAreMari1.1/md5checksums.txt
Arge pagana,GCA_963969455.1_iyArgPaga1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/969/455/GCA_963969455.1_iyArgPaga1.1/GCA_963969455.1_iyArgPaga1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/969/455/GCA_963969455.1_iyArgPaga1.1/md5checksums.txt
Argopecten irradians concentricus,GCA_004382765.1_QAU_Acon_1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/382/765/GCA_004382765.1_QAU_Acon_1.1/GCA_004382765.1_QAU_Acon_1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/382/765/GCA_004382765.1_QAU_Acon_1.1/md5checksums.txt
Argopecten irradians irradians,GCA_004382745.1_QAU_Airr_1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/382/745/GCA_004382745.1_QAU_Airr_1.1/GCA_004382745.1_QAU_Airr_1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/382/745/GCA_004382745.1_QAU_Airr_1.1/md5checksums.txt
Ariolimax columbianus,GCA_036924085.1_xgAriColu1.0.hap1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/924/085/GCA_036924085.1_xgAriColu1.0.hap1/GCA_036924085.1_xgAriColu1.0.hap1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/924/085/GCA_036924085.1_xgAriColu1.0.hap1/md5checksums.txt
Arion vulgaris,GCA_020796225.1_ASM2079622v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/796/225/GCA_020796225.1_ASM2079622v1/GCA_020796225.1_ASM2079622v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/796/225/GCA_020796225.1_ASM2079622v1/md5checksums.txt
Armadillidium vulgare,GCA_001887335.1_A_vulgare_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/335/GCA_001887335.1_A_vulgare_v1/GCA_001887335.1_A_vulgare_v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/335/GCA_001887335.1_A_vulgare_v1/md5checksums.txt
Armandia brevis,GCA_035585475.1_ASM3558547v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/585/475/GCA_035585475.1_ASM3558547v1/GCA_035585475.1_ASM3558547v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/585/475/GCA_035585475.1_ASM3558547v1/md5checksums.txt
Artemia sinica,GCA_027921565.1_ASM2792156v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/921/565/GCA_027921565.1_ASM2792156v1/GCA_027921565.1_ASM2792156v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/921/565/GCA_027921565.1_ASM2792156v1/md5checksums.txt
Ascaris lumbricoides,GCA_015227635.1_ALgV5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/635/GCA_015227635.1_ALgV5/GCA_015227635.1_ALgV5_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/635/GCA_015227635.1_ALgV5/md5checksums.txt
Ascaris suum,GCA_013433145.1_ASM1343314v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/433/145/GCA_013433145.1_ASM1343314v1/GCA_013433145.1_ASM1343314v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/433/145/GCA_013433145.1_ASM1343314v1/md5checksums.txt
Asellus aquaticus,GCA_964212115.1_qmAseAqua29.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/212/115/GCA_964212115.1_qmAseAqua29.1/GCA_964212115.1_qmAseAqua29.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/212/115/GCA_964212115.1_qmAseAqua29.1/md5checksums.txt
Atta cephalotes,GCA_000143395.3_Attacep1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/395/GCA_000143395.3_Attacep1.0/GCA_000143395.3_Attacep1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/395/GCA_000143395.3_Attacep1.0/md5checksums.txt
Atta colombica,GCA_001594045.1_Acol1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/045/GCA_001594045.1_Acol1.0/GCA_001594045.1_Acol1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/045/GCA_001594045.1_Acol1.0/md5checksums.txt
Auanema rhodensis,GCA_964057225.1_nxAuaRhod1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/057/225/GCA_964057225.1_nxAuaRhod1.1/GCA_964057225.1_nxAuaRhod1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/057/225/GCA_964057225.1_nxAuaRhod1.1/md5checksums.txt
Babylonia areolata,GCA_041734735.1_ASM4173473v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/734/735/GCA_041734735.1_ASM4173473v1/GCA_041734735.1_ASM4173473v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/734/735/GCA_041734735.1_ASM4173473v1/md5checksums.txt
Bactrocera dorsalis,GCA_023373825.1_ASM2337382v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/373/825/GCA_023373825.1_ASM2337382v1/GCA_023373825.1_ASM2337382v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/373/825/GCA_023373825.1_ASM2337382v1/md5checksums.txt
Balanus glandula,GCA_030265075.1_ASM3026507v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/265/075/GCA_030265075.1_ASM3026507v1/GCA_030265075.1_ASM3026507v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/265/075/GCA_030265075.1_ASM3026507v1/md5checksums.txt
Batillaria attramentaria,GCA_018292915.2_EWHU_Batt_1.5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/292/915/GCA_018292915.2_EWHU_Batt_1.5/GCA_018292915.2_EWHU_Batt_1.5_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/292/915/GCA_018292915.2_EWHU_Batt_1.5/md5checksums.txt
Berghia stephanieae,GCA_034508935.3_UCSD_Bste_1.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/508/935/GCA_034508935.3_UCSD_Bste_1.2/GCA_034508935.3_UCSD_Bste_1.2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/508/935/GCA_034508935.3_UCSD_Bste_1.2/md5checksums.txt
Biomphalaria glabrata,GCA_947242115.1_xgBioGlab47.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/242/115/GCA_947242115.1_xgBioGlab47.1/GCA_947242115.1_xgBioGlab47.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/242/115/GCA_947242115.1_xgBioGlab47.1/md5checksums.txt
Biomphalaria pfeifferi,GCA_030265305.1_UNM_Bpfe_1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/265/305/GCA_030265305.1_UNM_Bpfe_1.0/GCA_030265305.1_UNM_Bpfe_1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/265/305/GCA_030265305.1_UNM_Bpfe_1.0/md5checksums.txt
Biomphalaria straminea,GCA_021533235.1_Bstr_hk_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/533/235/GCA_021533235.1_Bstr_hk_v1/GCA_021533235.1_Bstr_hk_v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/533/235/GCA_021533235.1_Bstr_hk_v1/md5checksums.txt
Biomphalaria sudanica,GCA_036873155.1_WU_Bs111_ccs,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/873/155/GCA_036873155.1_WU_Bs111_ccs/GCA_036873155.1_WU_Bs111_ccs_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/873/155/GCA_036873155.1_WU_Bs111_ccs/md5checksums.txt
Birgus latro,GCA_018397915.1_ASM1839791v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/397/915/GCA_018397915.1_ASM1839791v1/GCA_018397915.1_ASM1839791v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/397/915/GCA_018397915.1_ASM1839791v1/md5checksums.txt
Boloria euphrosyne,GCA_951802675.2_ilBolEuph2.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/802/675/GCA_951802675.2_ilBolEuph2.2/GCA_951802675.2_ilBolEuph2.2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/802/675/GCA_951802675.2_ilBolEuph2.2/md5checksums.txt
Boloria selene,GCA_905231865.2_ilBolSele5.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/231/865/GCA_905231865.2_ilBolSele5.2/GCA_905231865.2_ilBolSele5.2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/231/865/GCA_905231865.2_ilBolSele5.2/md5checksums.txt
Bombus terrestris,GCA_910591885.2_iyBomTerr1.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/591/885/GCA_910591885.2_iyBomTerr1.2/GCA_910591885.2_iyBomTerr1.2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/591/885/GCA_910591885.2_iyBomTerr1.2/md5checksums.txt
Brachionus angularis,GCA_021432725.1_ASM2143272v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/432/725/GCA_021432725.1_ASM2143272v1/GCA_021432725.1_ASM2143272v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/432/725/GCA_021432725.1_ASM2143272v1/md5checksums.txt
Brachionus calyciflorus,GCA_002922825.1_Bc_v0.6,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/922/825/GCA_002922825.1_Bc_v0.6/GCA_002922825.1_Bc_v0.6_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/922/825/GCA_002922825.1_Bc_v0.6/md5checksums.txt
Brachionus koreanus,GCA_016987375.1_Bk_v0.5.4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/987/375/GCA_016987375.1_Bk_v0.5.4/GCA_016987375.1_Bk_v0.5.4_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/987/375/GCA_016987375.1_Bk_v0.5.4/md5checksums.txt
Brachionus manjavacas,GCA_019054805.1_ASM1905480v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/054/805/GCA_019054805.1_ASM1905480v1/GCA_019054805.1_ASM1905480v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/054/805/GCA_019054805.1_ASM1905480v1/md5checksums.txt
Brachionus paranguensis,GCA_016802215.1_ASM1680221v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/802/215/GCA_016802215.1_ASM1680221v1/GCA_016802215.1_ASM1680221v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/802/215/GCA_016802215.1_ASM1680221v1/md5checksums.txt
Brachionus plicatilis,GCA_010279815.1_ASM1027981v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/279/815/GCA_010279815.1_ASM1027981v1/GCA_010279815.1_ASM1027981v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/279/815/GCA_010279815.1_ASM1027981v1/md5checksums.txt
